Version,Configuration,Matrix,Execution_Time_ms
Sequential,N/A,D6-6,
Sequential,N/A,dictionary28,
Sequential,N/A,Ga3As3H12,
Sequential,N/A,bfly,
Sequential,N/A,pkustk14,
Sequential,N/A,roadNet-CA,
MPI,N8_n8,D6-6,0.027220
MPI,N8_n8,dictionary28,0.050960
MPI,N8_n8,Ga3As3H12,2.687021
MPI,N8_n8,bfly,0.030141
MPI,N8_n8,pkustk14,6.605553
MPI,N8_n8,roadNet-CA,0.659845
OpenMP,N1_n8,D6-6,0.020956
OpenMP,N1_n8,dictionary28,0.051535
OpenMP,N1_n8,Ga3As3H12,2.647196
OpenMP,N1_n8,bfly,0.026660
OpenMP,N1_n8,pkustk14,6.502106
OpenMP,N1_n8,roadNet-CA,0.765343
Hybrid,N8_n8,D6-6,0.026283
Hybrid,N8_n8,dictionary28,0.051621
Hybrid,N8_n8,Ga3As3H12,2.663635
Hybrid,N8_n8,bfly,0.032059
Hybrid,N8_n8,pkustk14,6.522675
Hybrid,N8_n8,roadNet-CA,0.656608
Hybrid,N4_n8,D6-6,0.023950
Hybrid,N4_n8,dictionary28,0.055112
Hybrid,N4_n8,Ga3As3H12,2.641649
Hybrid,N4_n8,bfly,0.033629
Hybrid,N4_n8,pkustk14,6.506420
Hybrid,N4_n8,roadNet-CA,0.661346
Hybrid,N2_n8,D6-6,0.076520
Hybrid,N2_n8,dictionary28,0.123414
Hybrid,N2_n8,Ga3As3H12,5.835149
Hybrid,N2_n8,bfly,0.095432
Hybrid,N2_n8,pkustk14,14.226676
Hybrid,N2_n8,roadNet-CA,2.860067
