Version,Matrix,Execution_Time_ms,GFLOP_per_s,GB_per_s
CUDA,D6-6,0.0083,35.47,282.5
CUDA,dictionary28,0.0119,29.86,214.5
MPI+CUDA_np4-G3,dictionary28,1.9872,0.18,1.3
CUDA,Ga3As3H12,1.3404,8.91,53.8
CUDA,bfly,0.0075,52.77,369.4
MPI+CUDA_np4-G3,Ga3As3H12,2.4199,4.93,29.8
CUDA,pkustk14,2.1600,13.74,83.0
MPI+CUDA_np4-G3,bfly,2.2199,0.18,1.2
CUDA,roadNet-CA,0.3040,36.40,270.3
MPI+CUDA_np4-G3,pkustk14,3.0366,9.77,59.0
MPI+CUDA_np4-G3,roadNet-CA,2.4215,4.57,33.9
MPI+CUDA_np2-G1,D6-6,0.0108,27.13,216.1
MPI+CUDA_np8-G3,D6-6,2.8451,0.10,0.8
MPI+CUDA_np2-G1,dictionary28,0.0123,29.05,208.6
MPI+CUDA_np8-G3,dictionary28,3.3459,0.11,0.8
MPI+CUDA_np2-G1,Ga3As3H12,1.4423,8.28,50.0
MPI+CUDA_np2-G1,bfly,0.0862,4.56,31.9
MPI+CUDA_np8-G3,Ga3As3H12,2.7464,4.35,26.3
MPI+CUDA_np8-G3,bfly,2.2433,0.18,1.2
MPI+CUDA_np2-G1,pkustk14,2.2889,12.96,78.3
MPI+CUDA_np2-G1,roadNet-CA,0.4062,27.25,202.3
MPI+CUDA_np8-G3,pkustk14,2.9100,10.20,61.6
MPI+CUDA_np4-G1,D6-6,0.1439,2.04,16.3
MPI+CUDA_np8-G3,roadNet-CA,2.5671,4.31,32.0
MPI+CUDA_np4-G1,dictionary28,0.2632,1.35,9.7
MPI+CUDA_np4-G1,Ga3As3H12,1.4405,8.29,50.1
MPI+CUDA_np4-G1,bfly,0.0949,4.14,29.0
MPI+CUDA_np4-G1,pkustk14,2.3454,12.65,76.4
MPI+CUDA_np4-G1,roadNet-CA,0.4348,25.45,189.0
MPI+CUDA_np8-G1,D6-6,0.2901,1.01,8.1
MPI+CUDA_np8-G1,dictionary28,0.4092,0.87,6.3
MPI+CUDA_np8-G1,Ga3As3H12,1.5113,7.90,47.7
MPI+CUDA_np8-G1,bfly,0.2692,1.46,10.2
MPI+CUDA_np8-G1,pkustk14,2.3936,12.40,74.9
MPI+CUDA_np8-G1,roadNet-CA,0.6113,18.10,134.4
MPI+CUDA_np16-G1,D6-6,0.9853,0.30,2.4
MPI+CUDA_np16-G1,dictionary28,0.7214,0.49,3.5
MPI+CUDA_np16-G1,Ga3As3H12,1.0823,11.03,66.7
MPI+CUDA_np16-G1,bfly,0.6143,0.64,4.5
MPI+CUDA_np16-G1,pkustk14,1.5699,18.90,114.2
MPI+CUDA_np16-G1,roadNet-CA,0.3404,32.51,241.4
