[Rank 1] MPI initialized with thread support level: 1
[Rank 0] MPI initialized with thread support level: 1
Initial OpenMP test: 4 threads available
Reading sparse matrix from file (comparison_matrices/Ga3As3H12.mtx): done
[Rank 0] Finished reading matrix: comparison_matrices/Ga3As3H12.mtx (Rows: 61349, Cols: 61349, Nonzeros: 5970947)
[Rank 0] Starting matrix broadcast
[Rank 1] Starting matrix broadcast
[Rank 0] Completed matrix broadcast
[Rank 1] Completed matrix broadcast
[Rank 1] Broadcasting vector x
[Rank 0] Broadcasting vector x
[Rank 0] Initialization complete
[Rank 0] Work range: 0 to 2985474 (total nonzeros: 5970947)
[Rank 1] Initialization complete
[Rank 1] Work range: 2985474 to 5970947 (total nonzeros: 5970947)
	Performing 530 iterations
[Rank 0] Completed local iteration 0
[Rank 1] Completed local iteration 0
[Rank 0] Completed local iteration 1
[Rank 1] Completed local iteration 1
[Rank 0] Completed local iteration 2
[Rank 1] Completed local iteration 2
[Rank 0] Completed local iteration 3
[Rank 1] Completed local iteration 3
[Rank 0] Completed local iteration 4
[Rank 1] Completed local iteration 4
[Rank 0] Completed local iteration 5
[Rank 0] Completed local iteration 6
[Rank 1] Completed local iteration 5
[Rank 0] Completed local iteration 7
[Rank 1] Completed local iteration 6
[Rank 0] Completed local iteration 8
[Rank 1] Completed local iteration 7
[Rank 0] Completed local iteration 9
[Rank 1] Completed local iteration 8
[Rank 0] Completed local iteration 10
[Rank 1] Completed local iteration 9
[Rank 0] Completed local iteration 11
[Rank 1] Completed local iteration 10
[Rank 0] Completed local iteration 12
[Rank 1] Completed local iteration 11
[Rank 0] Completed local iteration 13
[Rank 1] Completed local iteration 12
[Rank 0] Completed local iteration 14
[Rank 1] Completed local iteration 13
[Rank 0] Completed local iteration 15
[Rank 1] Completed local iteration 14
[Rank 0] Completed local iteration 16
[Rank 1] Completed local iteration 15
[Rank 0] Completed local iteration 17
[Rank 1] Completed local iteration 16
[Rank 0] Completed local iteration 18
[Rank 1] Completed local iteration 17
[Rank 1] Completed local iteration 18
[Rank 0] Completed local iteration 19
[Rank 1] Completed local iteration 19
[Rank 0] Completed local iteration 20
[Rank 1] Completed local iteration 20
[Rank 0] Completed local iteration 21
[Rank 1] Completed local iteration 21
[Rank 0] Completed local iteration 22
[Rank 1] Completed local iteration 22
